Prj_Code,SiteCode,SiteName,PropertyName,RefugeCode,Ownership,Region,City,County,State,PrimaryContact,SecondContact,PhoneNumber,Latitude,Longitude,Elevation,Class,Longevity,Origin
1,20MDSP,Bob's Pond,Mount Diablo State Park,MDS,California State Parks,,Diablo,Contra Costa,CA,Roland Gaebert,Cyndy Schafer,9256732895,37.852177,-121.870544,490,Pond,Permanent,Artificial
3,2231,Scooter Pond,,,Private,,Lakewood,Jefferson,CO,Private,,,39.55835,-105.09255,1700,Pond,Permanent,Artificial
3,2319,Number 15,,,,,,,CO,,,,39.548297,-105.281428,2454,Pond,Permanent,Natural
,3893,Pamona,,,,,Arvada,,CO,,,,39.8458,-105.07777,1663,Pond,Permanent,Artificial
,3897,Lake Arbor Park,,,,,Arvada,,CO,,,,39.8443,-105.0713,1648,Pond,Permanent,Artificial
3,50,Valmont,,,,,Boulder,Boulder,CO,,,,40.047519,-105.15451,1553,Lake,Permanent,Natural
,5344,Unsafe Ice Pond,,,,,Arvada,Jefferson,CO,,,,39.83956,-104.97285,5344,Pond,Permanent,Natural
3,5568,South Midline,,,,,,,CO,,,,39.922416,-105.081501,1639,Pond,Temporary,Artificial
1,5CN1,5 Canyons 1,5 Canyons Regional Park,5CN,East Bay Regional Park District,,Fairview,Alameda,CA,James Silliman,,5105381148,37.687079,-122.027621,214,Pond,Permanent,Artificial
1,5CN2,5 Canyons 2,5 Canyons Regional Park,5CN,East Bay Regional Park District,,Fairview,Alameda,CA,James Silliman,,5105381148,37.687453,-122.028454,220,Pond,Permanent,Artificial
1,5CN3,5 Canyons 3,5 Canyons Regional Park,5CN,East Bay Regional Park District,,Fairview,Alameda,CA,James Silliman,,5105381148,37.685451,-122.035217,134,Pond,Semi-permanent,Artificial
1,5CN4,5 Canyons 4,5 Canyons Regional Park,5CN,East Bay Regional Park District,,Fairview,Alameda,CA,James Silliman,,5105381148,37.677956,-122.035447,181,Pond,Semi-permanent,Artificial
1,5MDSP,5 MDSP,Mount Diablo State Park,MDS,California State Parks,,Diablo,Contra Costa,CA,Roland Gaebert,Cyndy Schafer,9256732895,37.850722,-121.855427,405,Pond,Temporary,Artificial
3,6567,Dinosaur Skin Pond,,,,,,,CO,,,,39.93766,-105.03036,1609,Pond,Permanent,Artificial
,6782,Pink Algae,,,,,Westminster,,CO,,,,39.893809,-105.021522,1641,Pond,Permanent,
,6833,Grandview Pond # 1,,,,,,,CO,,,,39.88441,-104.93184,1567,Pond,Permanent,Artificial
,6839,Grandview Pond # 3,,,,,,,CO,,,,39.8826,-104.93443,1569,Pond,Permanent,Artificial
3,6844,Trailer Trash,,,,,,,CO,,,,39.881846,-104.937088,1580,Pond,Permanent,Artificial
1,6MDSP,6 MDSP,Mount Diablo State Park,MDS,California State Parks,,Diablo,Contra Costa,CA,Roland Gaebert,Cyndy Schafer,9256732895,37.841305,-121.877697,547,Pond,Permanent,Artificial
1,8AMDSP,Upper Chase,Mount Diablo State Park,MDS,California State Parks,,Diablo,Contra Costa,CA,Roland Gaebert,Cyndy Schafer,9256732895,37.861568,-121.916087,538,Pond,Permanent,Natural
3,9131,4 Little Goldfish,,,,,,,CO,,,,39.870522,-105.472073,2778,Pond,Permanent,Artificial
3,9178,Stealth Mission,,,,,,,CO,,,,39.847209,-105.364093,2357,Pool,Permanent,Natural
,9241,Art Center Pond,,,,,Arvada,,CO,,,,39.82262,-105.08283,1687,Pond,Permanent,Artificial
,9422,Infinity Pond,,,,,Arvada,,CO,,,,39.8222,-105.12476,1648,Pond,Permanent,Artificial
,9487,West Woods 9th,,,,,Arvada,Jefferson,CO,,,,39.818,-105.18507,1715,Pond,Permanent,Artificial
,9511,West Woods 19 Pond,,,,,Arvada,Jefferson,CO,,,,39.81544,-105.18605,1722,Pond,Permanent,Artificial
3,9940,Choo Choo Pond,,,,,Broomfield,Boulder,CO,Boulder County Open Space,,,39.934024,-105.116171,1630,Pond,Permanent,Natural
3,9942,Transformer,OSMP,,OSMP,,Eldorado Springs,Boulder,CO,OSMP,,,39.93372,-105.26376,1751,Pond,Permanent,Artificial
,9953,Josh's Pond,,,,,Broomfield,Broomfield,CO,,,,39.93247,-105.1092,1620,Pond,Permanent,Artificial
3,9965,Fanwort,,,Jefferson County Open Space,,Boulder,Jefferson,CO,Jefferson County Open Space,,,39.89512,-105.22594,1910,Pond,Permanent,Artificial
1,ACPND001,ACPND001,Anthony Chabot Regional Park,AC,East Bay Regional Park District,,San Leandro,Alameda,CA,Janet Gomes,,5106906675,37.748474,-122.089956,222,Pond,Permanent,Artificial
5,AK-ANC02,ANC02,,,,,,,AK,,,,61.14347,-149.99189,,,,
5,AK-ARC25,ARC25,Arctic National Refuge National Wildlife Refuge,ARC,,7,,,AK,,,,67.19441,-142.18454,,,,
5,AK-KENUK,UNKNOWN KENAI NWR,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,,,,,,
5,AK-KNA01,KNA01,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.73792,-150.87207,,,,
5,AK-KNA02,KNA02,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.71805,-150.88445,,,,
5,AK-KNA03,KNA03,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.72587,-150.88974,,,,
5,AK-KNA04,KNA04,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.74318,-150.86391,,,,
5,AK-KNA05,KNA05,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.70667,-150.89082,,,,
5,AK-KNA08,KNA08,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.6265,-150.80745,,,,
